"Internal - HTML"
"Address","Content","Status Code","Status","Title 1","Title 2","Title 1 Length","Title 2 Length","Title 1 Pixel Width","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-2","H1-1 length","H1-2 length","H2-1","H2-2","H2-1 length","H2-2 length","Meta Robots 1","Meta Refresh 1","Canonical Link Element 1","Size","Word Count","Text Ratio","Level","Inlinks","Outlinks","External Outlinks","Hash","Response Time","Last Modified","Redirect URI"
"https://www.lehmans.com/product/wick-for-vintnerx27s-oil-lamp/wicks-mantles","text/html; charset=UTF-8","200","OK","Wick for Vintner's Oil Lamp, Wicks and Mantles - Lehman's","","57","0","470","0","      1/4 solid round      Pack of 5     ","41","209","wick,fiberglass wick,wicking,cotton wick,flat wick,flat cotton wick,round wick,round cotton wick,solid round wick,rope wick,lamp wick,lamp flat,Aladdin lamp wicks,oil wicks,wick trimmer, wick cutter,wick cleaner,cap,brass lamp cap,font cap,filler cap,oil lamp cap,screw cap for oil lamp,lid for oil lamp,font lid,Rayo","317","Wick for Vintner's Oil Lamp","","27","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/wick-for-vintnerx27s-oil-lamp/wicks-mantles","120270","707","3.8148773","0","3","250","7","f61a319e8d0936347070549a7cc77f94","0.626","",""
"https://www.lehmans.com/product/lodge-logic-cast-iron-double-dutch-oven/cast-iron","text/html; charset=UTF-8","200","OK","Lodge Logic Cast Iron Double Dutch Oven, Cast Iron - Lehman's","","61","0","514","0","Five-quart dutch oven with extra deep lid, which can be used as a skillet.        5-qt capacity     10-1/4 OD      12 lb      They are all pre-seasoned and ready to use.   Made by Lodge®  Need to re-season your cast-iron cookware?  Lightly coat inside and outside with only liquid vegetable oil. Make sure to get all the corners. (Do not use butter, margarine or solid vegetable oil such as Crisco).   ","402","2266","extra deep dutch oven, extra deep fryer, deep chicken fryer,dutch oven, oven, cast iron dutch oven, cast iron,Lodge,USA,US,made in US,Made in USA,USA-made,USA made,Made in America,American made,American-made,America","215","Lodge Logic Cast Iron Double Dutch Oven","","39","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/lodge-logic-cast-iron-double-dutch-oven/cast-iron","130025","859","4.3800616","0","2","254","7","e76df9aa33650da2e2cd47ea8d5deb27","0.626","",""
"https://www.lehmans.com/product/double-edged-blades-for-safety-shaving-razor/personal-hygiene","text/html; charset=UTF-8","200","OK","Double-Edged Blades for Safety Shaving Razor, Grooming and Personal Hygiene - Lehman's","","86","0","744","0","Very sharp, German-made blades, very good quality. Double-edged stainless steel, comes 10/pack","94","574","shaving,wet shaving,mens razors,gifts for men,mens gifts,men's shaving,men's grooming,shaving goods,mens shaving goods,dovo,thiers issard,straight razors,straight razor,razors,razor,cut throat,merkur,safety razors,safety razor,vision,futur,strop,strops,ho","255","Double-Edged Blades for Safety Shaving Razor","","44","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/double-edged-blades-for-safety-shaving-razor/personal-hygiene","156116","1128","4.5102234","0","2","256","7","2048483e5d65ac1728bb6ff457b8c56e","1.055","",""
"https://www.lehmans.com/category/lamp-burners","text/html; charset=UTF-8","200","OK","Lamp Burners and Collars - Lehman's","","35","0","302","0","Name the lamp: we carry burners and collars to fix it. Aladdin, Gem, more.","74","431","expander,oil lamp expander, brass expander,brass oil lamp parts,burner,oil burner, replacement oil burner,kero burner,flame spreader,oil lamp collar,press on,press-on,acorn burner,#2 burner,Aladdin burner, Queen Anne burner, Queen Anne #1 burner,duplex burner,double lamp burner,double wick burner,Aladdin #23,kerosene burner,Queen Anne #3, mason jar oil lamp lid,mason jar lamp,mason jar burner,maitresse,Gem,Arctic,Gem Artctic","428","Lamp Burners and Collars","","24","0","Brand","Gem Arctic Burner for oil lamps - #1","5","36","","","https://www.lehmans.com/category/lamp-burners/a","170619","993","3.7911692","0","3927","297","7","749ed0dbe10a2912d5c9a34d2f1eb40a","0.626","",""
"https://www.lehmans.com/product/stainless-steel-7-16-to-3-8-rod-adapter/pump-parts","text/html; charset=UTF-8","200","OK","Stainless Steel 7/16 to 3/8 Rod Adapter, Pump Parts and Tools - Lehman's","","72","0","596","0","Adapter for 7/16 to 3/8 pipe connections.
1 adapter needed for 3/8 stainless steel threaded pump rod (#10000) to brass cylinder (#442 series)
2 adapters needed for connecting 3/8 stainless steel threaded pump rod (#10000) to Versatile Pump Heads (#110801 and #110802) and brass cylinder (#442 series)","302","1772","Pump Parts and Tools,,","22","Stainless Steel 7/16"" to 3/8"" Rod Adapter","","41","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/stainless-steel-7-16-to-3-8-rod-adapter/pump-parts","129734","905","4.6920886","0","4","255","7","8a8798453c166b40334ad5bcb8da36a0","0.626","",""
"https://www.lehmans.com/product/aladdin-kerosene-model-23-oil-lamp-burners/lamp-burners","text/html; charset=UTF-8","200","OK","Aladdin Kerosene Model #23 Oil Lamp Burners, Lamp Burners and Collars - Lehman's","","80","0","688","0","For Aladdin lamps with a glass base or metal base without center air tube (fits Models A-C, 21c, 23).
Comes with a wick3-1/2 H, 2 OD threadsDoes not fit other brands","166","969","Aladdin burner, Aladdin burners, burner, burners, lamp burner, lamp burners, Aladdin lamp burner, Aladdin lamp burners","118","Aladdin Kerosene Model #23 Oil Lamp Burners","","43","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/aladdin-kerosene-model-23-oil-lamp-burners/lamp-burners","138241","899","4.1783314","0","2","256","7","a29cade86539f0a66bcf52e2c5375260","0.548","",""
"https://www.lehmans.com/product/nellies-all-natural-laundry-soda-for-100-loads/laundry-supplies","text/html; charset=UTF-8","200","OK","Nellie's All-Natural Laundry Soda for 100 Loads, Laundry Supplies - Lehman's","","76","0","620","0","Skin allergies? Baby in the house? Try these solutions. Old-time laundry soda formula deep-cleans fabrics down to the fibers, but without the harsh chemicals that can leave stiff, skin-irritating residue on clothing.    Extra gentle and unscented    Dissolves quickly in hot or cold water and rinses thoroughly    Leaves fabrics naturally fresh and soft    Ultra-concentrated - use one tablespoon per load    Non-toxic and biodegradable ","437","2479","laundry detergent, washday, washing, nellie, nellies, nelly, nellys, dryer balls, dryer, balls, drierballs, drier balls","119","Nellie's All-Natural Laundry Soda for 100 Loads","","47","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/nellies-all-natural-laundry-soda-for-100-loads/laundry-supplies","139402","1044","4.8300896","0","3","257","7","257ea69ec7b9359a4e39f360fbf49cb2","0.03","",""
"https://www.lehmans.com/product/steel-saddlesafety-pins/clothing-accessories","text/html; charset=UTF-8","200","OK","Steel Saddle/Safety Pins, Clothing and Accessories - Lehman's","","61","0","504","0","Huge 4L x 3/4 safety pin serves a multitude of purposes. Snugly pin a blanket, or slide your keys on it as a key chain. Chrome-plated steel.","140","808","05313, horse blanket pin, giant saftety pin","43","Steel Saddle/Safety Pins","","24","0","Reviews","","7","0","","","https://www.lehmans.com/product/steel-saddlesafety-pins/clothing-accessories","121226","771","4.0834174","0","1","248","7","81f378d86ddabaa2a2a50a586da9fc87","0.068","",""
"https://www.lehmans.com/product/toothpaste-squeezers/personal-hygiene","text/html; charset=UTF-8","200","OK","Toothpaste Squeezers, Grooming and Personal Hygiene - Lehman's","","62","0","545","0","Slip one of these brightly colored squeezers onto the end of a tube and move it up as needed. Use for paints, ointments, toothpaste and cosmetics.","146","855","tube squeezer, squeeze ease, squeezee","37","Toothpaste Squeezers","","20","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/toothpaste-squeezers/personal-hygiene","135391","832","3.9900434","0","2","250","7","c7eae23ee9bd7e893617630e6dc5875e","0.106","",""
"https://www.lehmans.com/product/kerosene-refrigerator-burner-with-wick-and-cleaner/refrigerators-freezers","text/html; charset=UTF-8","200","OK","Kerosene Refrigerator Burner with Wick and Cleaner, Refrigerators and Freezers - Lehman's","","89","0","738","0","Our kerosene refrigerators use Aladdin burners. To get the right part you need the burner number (located on the side of the burner or burner knob), and the make and model of refrigerator. #23 and #32 burners are the most common. #21, #21BC and #B burners are rare. Note: The #23 Burner interchanges with any burner except #32. Most refrigerators use a #23 or similar burner. Most Sibirs and a few older Dometics use the #32 burner. Parts will not interchange between burners. If not shown above, kerosene burner parts are not available.
","539","3140","Refrigerators and Freezers,,","28","Kerosene Refrigerator Burner with Wick and Cleaner","","50","0","Reviews","","7","0","","","https://www.lehmans.com/product/kerosene-refrigerator-burner-with-wick-and-cleaner/refrigerators-freezers","125709","804","4.1032577","0","1","248","7","9b8e0c1982da044d1d8cf97073d893cb","0.067","",""
"https://www.lehmans.com/product/grapefruit-spoons-4-pk/dinnerware","text/html; charset=UTF-8","200","OK","Grapefruit Spoons 4 pk, Dinnerware - Lehman's","","45","0","380","0","Serrated spoons pull apart tough grapefruit for simpler eating. 4 pk. ","70","391","serrated spoons,grape fruit spoon,spoon for grapefruit,stainless steel spoons","77","Grapefruit Spoons 4 pk","","22","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/grapefruit-spoons-4-pk/dinnerware","126246","751","3.8418274","0","1","256","7","b0aa5da483ab3b2d710a9dea3a68f163","0.033","",""
"https://www.lehmans.com/product/ball-canning-discovery-kit/canning","text/html; charset=UTF-8","200","OK","Ball Canning Discovery Kit, Canning - Lehman's","","46","0","382","0","A great, inexpensive way to taste and see if canning is for you. ","65","370","water bath canning,canning kit,ball canning kit,ball canning discovery kit","74","Ball Canning Discovery Kit","","26","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/ball-canning-discovery-kit/canning","130903","969","4.647894","0","2","257","7","649463eb53533e7cc4f8ceebb9239af8","0.028","",""
"https://www.lehmans.com/product/coffeesock-no-4-filters/brewing-coffee-tea","text/html; charset=UTF-8","200","OK","CoffeeSock No. 4 Filters, Brewing Coffee and Tea - Lehman's","","59","0","492","0","Reuse and save with organic cotton coffee filters. No. 4 filters, pk 2. USA.","76","430","number four coffee filter,no. 4 coffee filter,organic cotton filter,coffee filters,reusable coffee filters,drip coffee,pour over coffee,USA,US,made in US,Made in USA,USA-made,USA made,Made in America,American made,American-made,America","235","CoffeeSock No. 4 Filters","","24","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/coffeesock-no-4-filters/brewing-coffee-tea","136656","1066","4.937395","0","3","257","7","4c892b0e9eead3aa71a3032ac5af6334","0.037","",""
"https://www.lehmans.com/product/cypress-5-ft-hanging-porch-swing/outdoor-furniture","text/html; charset=UTF-8","200","OK","Cypress 5 ft Hanging Porch Swing, Outdoor Furniture - Lehman's","","62","0","519","0","Relax in comfort. Large cypress swing made by Amish craftsmen. ","63","387","cypress,cypress furniture,Amish-made furniture,Amish made,handcrafted,hanging swing,porch furniture,outdoor furniture,outside furniture,USA,US,made in US,Made in USA,USA-made,USA made,Made in America,American made,American-made,America","235","Cypress 5 ft Hanging Porch Swing","","32","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/cypress-5-ft-hanging-porch-swing/outdoor-furniture","133255","1188","5.64803","0","5","258","7","bb5ba951ada98441c7f0c38796628dc4","0.052","",""
"https://www.lehmans.com/product/10-qt-high-quality-pressure-canner/canning","text/html; charset=UTF-8","200","OK","10 qt High-Quality Pressure Canner, Canning - Lehman's","","54","0","455","0","Buy the best: Canners are a once-in-a-lifetime investment! USA made.","68","409","high quality pressure canners,pressure canner,pressure cooker,canning, canning equipment, canning supplies, home cannery, preserving food, pressure canner, pressure cooker, cooker, canner","187","10 qt High-Quality Pressure Canner","","34","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/10-qt-high-quality-pressure-canner/canning","184459","2089","6.617368","0","4","258","7","67e2a44cd94f373876d6caf0e74489f7","0.025","",""
"https://www.lehmans.com/product/cast-iron-string-dispenser-and-twine/household-helpers","text/html; charset=UTF-8","200","OK","Cast Iron String Dispenser and Twine, Household Helpers - Lehman's","","66","0","555","0","Today, you'll find many surprising uses for a handy piece of twine or string around the house, shop and garden. Conveniently hangs from ceiling or under worktable.","163","945","string dispenser, string, twine, butcher's twine, cast iron, string holder, cast iron, castiron, string holder, holders, string accessories, shopkeepers String Dispenser, Kitchen Twine Dispenser, Meat & Poultry Tools, butcher's string, trussing string","251","Cast Iron String Dispenser and Twine","","36","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/cast-iron-string-dispenser-and-twine/household-helpers","128211","812","4.1183395","0","2","252","7","5bc9e30296f4133339bac3eb564d7ccd","0.841","",""
"https://www.lehmans.com/product/spiral-walking-sticks/camping","text/html; charset=UTF-8","200","OK","Spiral Walking Sticks, Camping - Lehman's","","41","0","343","0","Made by a local Amish family who uses a special machine to cut is unique twisted shaped. Weather resistng satin lacquer finish. USA made.","137","818","canes, walking cane, walking canes, spiral walking cane, USA made cane, USA made walking stick,USA,US,made in US,Made in USA,USA-made,USA made,Made in America,American made,American-made,America","194","Spiral Walking Sticks","","21","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/spiral-walking-sticks/camping","140511","829","3.794829","0","2","256","7","6ef8dc836088f1b9fed26ff180115cc8","0.863","",""
"https://www.lehmans.com/product/authentic-solid-brass-sleigh-bells/decor","text/html; charset=UTF-8","200","OK","Authentic Solid Brass Sleigh Bells, Décor - Lehman's","","52","0","421","0","The clear, bright ring of sleigh bells on a wintry day is unmistakable. However you use them, their melodic ring will be music to everyone's ears this season.

    Solid cast brass bells mounted on handsome black leather straps with shiny brass buckles
    Fully functional on sleigh harnesses
    A stunning showpiece (and a charming doorbell) when hung on your front door
    Drape on a mantel or even display down the middle of the dining room table
    USA made 
","474","2724","Décor,,","7","Authentic Solid Brass Sleigh Bells","","34","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/authentic-solid-brass-sleigh-bells/decor","152957","1290","5.2500134","0","4","258","7","a6ce7fccbe5a31584c0dd3661dd9cdda","0.836","",""
"https://www.lehmans.com/product/week-by-week-vegetable-gardener-s-handbook/how-to-books","text/html; charset=UTF-8","200","OK","Week-by-Week Vegetable Gardener's Handbook, Home and Garden How-To - Lehman's","","77","0","708","0","Whether you're just starting out or you've been growing vegetables for years, learn what to do and when to do it in this comprehensive handbook. Easy-to-follow lists help you plan, plant and care for a productive, organic vegetable garden.  Daily and weekly to-do lists  Works for EVERY gardening zone  Week-by-week plans based on your area's last frost date  Customized gardening journal  Helpful resources list and index  Kujawski and Kujawski, spiral-bound, 7 1/2x9, 199 pp. ","478","2774","Home and Garden How-To,,","24","Week-by-Week Vegetable Gardener's Handbook","","42","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/week-by-week-vegetable-gardener-s-handbook/how-to-books","130000","1102","5.4763646","0","2","253","7","d47056b5eb7337c7166481e43ad22229","2.123","",""
"https://www.lehmans.com/product/weber-q2000-gas-grill/grilling","text/html; charset=UTF-8","200","OK","Weber Q2000 Gas Grill - Titanium, Grilling - Lehman's","","53","0","431","0","This innovative, sporty grill offers compact gas cooking that lights with the push of a button. Designed to be easily portable - grab it and head to the beach or campsite - yet large enough to cook for your family in the backyard. Porcelain-enameled, cast iron cooking grates conduct heat evenly across the entire surface for delectable results. Removable catch pan holds meat juices for easy removal. Two handy side tables fold out for ample prep space.

","458","2635","Grilling,,","10","Weber Q2000 Gas Grill - Titanium","","32","0","Reviews","","7","0","","","https://www.lehmans.com/product/weber-q2000-gas-grill/grilling","125649","949","4.795295","0","5","250","7","fc1a8cb389b00f8e146dc34124fa8f3d","1.66","",""
"https://www.lehmans.com/product/cypress-glider-swing/outdoor-furniture","text/html; charset=UTF-8","200","OK","Cypress Glider Swing, Outdoor Furniture - Lehman's","","50","0","418","0","Sturdy construction, a smooth gliding base, contoured back, curved armrests.","76","451","cypress swing,cypress glider,glider swing,cypress,swing,gliders,USA, US, made in US, Made in USA, USA-made, USA made, Made in America, American made, American-made, america, american,","183","Cypress Glider Swing","","20","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/cypress-glider-swing/outdoor-furniture","130187","900","4.484491","0","4","257","7","863e510cffc644d49d105132359078d8","0.027","",""
"https://www.lehmans.com/product/hot-dog-roaster/camping","text/html; charset=UTF-8","200","OK","Hot Dog Roaster, Camping - Lehman's","","35","0","309","0","Two-prongs, heavy-duty galvanized steel, extra-long wooden handle. USA-made.","76","467","campfire roaster, marshmallow roaster, hotdog roaster, dog roaster, marshmallow fork","84","Hot Dog Roaster","","15","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/hot-dog-roaster/camping","134211","884","4.2233267","0","2","256","7","e26e84268e5f3799caa84cbdd304c9fc","0.029","",""
"https://www.lehmans.com/product/tea-stick-infuser/brewing-coffee-tea","text/html; charset=UTF-8","200","OK","Tea Stick Infuser, Brewing Coffee and Tea - Lehman's","","52","0","432","0","One cup infuser scoops up tea leaves, then slides shut for steeping.","68","396","tea infuser,tea stick,steeping tea,steeping loose leaves,loose leaf tea infuser","79","Tea Stick Infuser","","17","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/tea-stick-infuser/brewing-coffee-tea","132229","784","3.8532805","0","2","256","7","7d4a8cef4163bdad3649bcbe16b5ef53","0.026","",""
"https://www.lehmans.com/product/literature-on-all-sun-mar-composting-toilets/composting-toilets","text/html; charset=UTF-8","200","OK","Literature on all Sun-Mar Composting Toilets, Composting Toilets - Lehman's","","75","0","614","0","Order a 27-page color brochure with more information on composting chambers with user referrals. ","97","572","composting toilet, composting toilets, yoilet,","46","Literature on all Sun-Mar Composting Toilets","","44","0","SUGGESTED PRODUCTS","Reviews","18","7","","","https://www.lehmans.com/product/literature-on-all-sun-mar-composting-toilets/composting-toilets","122481","732","3.9182868","0","3","256","7","243d40bf46d920ddabb9d9a9121b5af3","0.424","",""
"https://www.lehmans.com/category/kitchen-gadgets","text/html; charset=UTF-8","200","OK","Kitchen Gadgets - Lehman's","","26","0","226","0","Cooking woes? We have the solutions to make preparing wholesome meals a simpler task. From opening cans and jars to boiling and straining foods, our wide assortment of proven kitchen tools will make a big difference at mealtime. Find colanders, salad spinners, kitchen compost pails, openers, spatulas, egg beaters, mixers, nutcrackers and invaluable gadgets that will make you wonder, Why hadn't I thought of that? We guarantee – they'll save you from a hassle. Plus, they make great, thoughtful gifts for the cook and baker in your life. (We're your source for non-electric goods. Discover more ways to live simpler at Lehman's.)","631","3680","Kitchen Gadgets,Mug Tree,Hand-Cranked Blender,Anvil Nutcracker,Apple Butter Stirrer,Plastic Bag and Bottle Dryer,Ice Cream Spade,Giant Stainless Steel Spoon,Stainless Steel Ice Cube Tray,GIANT Potato Masher,Professional Cooking Twine w/ Holder,Professional Cooking Twine - Replacement Spool,Set of 3 Rubber Jar Grips,","317","Kitchen Gadgets","","15","0","Filter Products by","Mug Tree","18","8","","","https://www.lehmans.com/category/kitchen-gadgets/a","182252","1001","3.7335382","0","3990","301","7","884ec50e298884cb76f7725a02feb1db","0.118","",""
